,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,#DIV/0!,0.23464477031778153,#DIV/0!,#DIV/0!,#DIV/0!,-0.011524647641559407,-0.8304304898879361,#DIV/0!,#DIV/0!,-0.5922735075070589,#DIV/0!,#DIV/0!,0.4813211791923619,-0.07800625182386695,0.2797373210415775,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,C,D,#DIV!0,#DIV!0,C-,#DIV!0,#DIV!0,B-,B-,C,#DIV!0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.011524647641559407,-1.3720760765689435,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.0281772978616681,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,D-,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,D,#DIV!0,#DIV!0,#DIV!0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
83,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.0281772978616681,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,D,#DIV!0,#DIV!0,#DIV!0
84,Monroe County (Central)--Rochester City (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.4292925868196656,0.0888726965058917,#DIV/0!,#DIV/0!,0.13183105286220811,-0.349576593280566,-0.41389591102768725,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,B-,C,#DIV!0,#DIV!0,C-,C,C-,#DIV!0
85,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,#DIV/0!,0.23464477031778153,#DIV/0!,#DIV/0!,#DIV/0!,-0.011524647641559407,1.1169229802976364,#DIV/0!,#DIV/0!,1.0901619973394525,#DIV/0!,#DIV/0!,#DIV/0!,0.07293753085398309,-0.5222704441488625,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,C,B,#DIV!0,#DIV!0,B,#DIV!0,#DIV!0,C-,#DIV!0,C,#DIV!0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,#DIV/0!,-0.6857496675586177,#DIV/0!,#DIV/0!,0.4161209242352819,-0.3701592339640708,0.7902161764358098,#DIV/0!,0.4292925868196656,#DIV/0!,0.9917695864431587,0.9898382430058761,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,C-,#DIV!0,#DIV!0,B-,C-,B,#DIV!0,B-,#DIV!0,B,B,#DIV!0,#DIV!0,#DIV!0,#DIV!0
88,Onondaga County (Central)--Syracuse City PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.42304805628363756,#DIV/0!,#DIV/0!,#DIV/0!,0.6521091869297144,0.035570740930048264,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,B-,#DIV!0,#DIV!0,C,#DIV!0,B-,#DIV!0
89,Westchester County (Central)--White Plains City PUMA,#DIV/0!,-0.45497416381108235,#DIV/0!,#DIV/0!,#DIV/0!,-0.2484039009659603,-0.13610947717200259,#DIV/0!,#DIV/0!,-0.995047197479095,#DIV/0!,#DIV/0!,-0.3826257639850079,-0.24743877509897771,-0.1792000726249346,#DIV/0!,#DIV!0,C-,#DIV!0,#DIV!0,#DIV!0,C,C,#DIV!0,#DIV!0,D,#DIV!0,#DIV!0,C,C-,C,#DIV!0
