,puma,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",24.49438202247191,12.385643912737509,34.6517119244392
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",35.11326860841424,27.33900364520049,41.31910766246363
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",38.41414412001071,26.87913409500902,47.68115942028985
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,95.45454545454545,100.0,91.57608695652173
59,Albany County (East Central)--Albany City PUMA,84.24182358771061,100.0,71.60714285714286
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,39.238020424194815,41.09299516908212,37.81784558483587
61,Rensselaer County--Troy City PUMA,51.707317073170735,0.0,74.64788732394366
62,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
63,Orange County (Northeast)--Greater Newburgh City PUMA,11.5234375,15.391304347826088,0.0
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",100.0,100.0,100.0
65,Fulton & Montgomery Counties PUMA,0.0,#DIV/0!,0.0
66,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,34.55745822158036,26.974865350089765,41.00801832760595
